Date,Close,High,Low,Open,Volume,Stock
,MSFT,MSFT,MSFT,MSFT,MSFT,
2023-07-11,327.98040771484375,328.36512559547043,322.58427205153635,326.58944439701025,26698200,MSFT
2023-07-12,332.64654541015625,337.03643563123427,331.1372073615491,332.0546416428547,29995300,MSFT
2023-07-13,338.03277587890625,339.0981784792485,334.4419154262678,334.9746317791757,20567200,MSFT
2023-07-14,340.57794189453125,346.684355842652,339.66050764457793,342.8962140090438,28302200,MSFT
2023-07-17,341.0613098144531,342.3042744372,337.5789797619486,341.0119669458339,20363900,MSFT
2023-07-18,354.635498046875,361.8270635461225,337.5494072854083,341.1599567699789,64872700,MSFT
2023-07-19,350.2850341796875,357.56538046892035,347.6807000395438,356.86497664298207,39732900,MSFT
2023-07-20,342.18597412109375,353.1360893076159,340.70622963927934,348.7955115153894,33778400,MSFT
2023-07-21,339.1278076171875,345.56962697471664,335.2410099540345,344.4351622996389,69368900,MSFT
2023-07-24,340.4497375488281,342.2353236218042,337.68755983819176,341.17976531237275,26678100,MSFT
2023-07-25,346.2404479980469,347.13816315499605,340.4102518285033,342.42268240569985,41637700,MSFT
2023-07-26,333.2088623046875,340.01571122456374,328.61178568719,336.8293171664982,58383700,MSFT
2023-07-27,326.2540283203125,336.7207386752654,324.6065664004519,335.8822409797451,39635300,MSFT
2023-07-28,333.8007507324219,335.418619127257,328.67098799700807,329.16423615072927,28484900,MSFT
2023-07-31,331.3838806152344,333.13984298542726,328.8584221594872,332.37037700535353,25446000,MSFT
2023-08-01,331.7981262207031,333.96842988932275,329.1937919238342,330.6636616188916,18311900,MSFT
2023-08-02,323.0774841308594,329.1247102537569,321.95286408661656,329.1247102537569,27761300,MSFT
2023-08-03,322.2488708496094,325.42539000063243,321.5484669368351,321.597779707483,18253700,MSFT
2023-08-04,323.353759765625,330.61438827280773,322.82104332790357,327.3984006637002,23727700,MSFT
2023-08-07,325.6522216796875,326.6387178056162,323.09720032618895,323.93572805432285,17741500,MSFT
2023-08-08,321.6470947265625,324.31064668065517,318.6382931645677,322.54480993915706,22327600,MSFT
2023-08-09,317.8786926269531,322.69276896492516,316.7146041895466,322.0614270294025,22373300,MSFT
2023-08-10,318.56927490234375,323.82731756805975,316.8429062041014,321.61754516258253,20113700,MSFT
2023-08-11,316.6751708984375,318.05625962756983,314.8994595848591,315.9352987108156,24342600,MSFT
2023-08-14,319.6642761230469,319.68399521148456,315.75772901793835,317.05006689482826,18836100,MSFT
2023-08-15,317.5137023925781,320.7000964574307,316.5666743212441,318.63832268798944,16966300,MSFT
2023-08-16,316.74261474609375,320.716745588524,316.1494577370067,317.1380426957456,20698900,MSFT
2023-08-17,313.26275634765625,318.19578484702873,312.60039125699797,316.88098033707746,21257200,MSFT
2023-08-18,312.8673400878906,314.74564524442695,307.9935939126714,310.90003574711136,24744800,MSFT
2023-08-21,318.2056884765625,319.0855132833144,313.4209415411844,314.3007663479363,24040000,MSFT
2023-08-22,318.779052734375,322.357724957099,317.7904679139887,321.7843590357293,16102000,MSFT
2023-08-23,323.2672424316406,325.44214114565574,319.76764365334907,320.1235498834675,21166400,MSFT
2023-08-24,316.3175048828125,329.1790038104103,316.3076093798751,329.05048294908903,23281400,MSFT
2023-08-25,319.293212890625,321.6460199864956,315.16090441961705,317.8004397989087,21684100,MSFT
2023-08-28,320.0049133300781,322.42692799992096,318.0475045559713,321.9425310997952,14808500,MSFT
2023-08-29,324.6611633300781,325.2246639510212,318.20570528498234,318.20570528498234,19284600,MSFT
2023-08-30,325.03680419921875,326.0451498323158,322.72351939208045,324.9181788505266,15222100,MSFT
2023-08-31,324.0185852050781,327.13262149789296,323.0497611758668,325.4421498250876,26411000,MSFT
2023-09-01,324.9083251953125,328.20029972236824,323.0497807085255,327.52806921372286,14931200,MSFT
2023-09-05,329.74249267578125,331.0276711915423,324.9083280364007,325.24444329366247,18553900,MSFT
2023-09-06,329.08013916015625,330.64208999362666,326.41094792069816,329.5744315993732,17535800,MSFT
2023-09-07,326.14404296875,329.27784015884396,325.27408344304047,327.5082949368657,18381000,MSFT
2023-09-08,330.45428466796875,332.3227247289634,325.69919341024064,326.32200676390556,19530100,MSFT
2023-09-11,334.0823974609375,334.556929093658,331.60103960424,333.3903759343724,16583300,MSFT
2023-09-12,327.9827880859375,332.94550339059816,327.69612019842117,331.9865748697913,17565500,MSFT
2023-09-13,332.22381591796875,333.0048063818992,327.38965178199726,327.52803797035625,16544400,MSFT
2023-09-14,334.8337097167969,336.9690265009899,332.7280191029121,335.27855480966366,20267000,MSFT
2023-09-15,326.4505310058594,333.5485638717136,325.88703033061086,333.074062392952,37666900,MSFT
2023-09-18,325.3037109375,326.62841094537885,322.6345199175024,324.0580844389393,16834200,MSFT
2023-09-19,324.8984069824219,325.6299802911353,320.8056813654168,322.44673584714667,16505900,MSFT
2023-09-20,317.1083679199219,325.827693989748,316.8513563606588,325.7486204721018,21436500,MSFT
2023-09-21,315.88250732421875,321.6360782353787,311.40421928226147,315.6156002828941,35529500,MSFT
2023-09-22,313.3913269042969,317.7806465273566,312.5411281531975,317.6521256558587,21447900,MSFT
2023-09-25,313.91522216796875,314.04374301753984,311.4042083579565,312.9760545512673,17836000,MSFT
2023-09-26,308.5768737792969,312.27417127506453,306.48104866233854,311.5327326754824,26297600,MSFT
2023-09-27,309.21942138671875,310.7121637909888,306.15480273702576,308.7349943614077,19410100,MSFT
2023-09-28,310.05975341796875,311.8787458429494,305.9175806621763,307.43997954346224,19683600,MSFT
2023-09-29,312.1456604003906,315.82319717862225,311.38446094140835,314.12283006246753,24140300,MSFT
2023-10-02,318.1266174316406,318.21561662397966,311.5821900421662,312.66963949567804,20570000,MSFT
2023-10-03,309.8126220703125,317.7213009072656,307.657484158639,317.1676656330005,21033500,MSFT
2023-10-04,315.31903076171875,316.38671934680445,310.4156581127954,310.4453144529802,20720100,MSFT
2023-10-05,315.7144470214844,316.3273949780159,311.30536698470246,315.4475399696837,16965600,MSFT
2023-10-06,323.5242614746094,325.4322228400408,312.6893506739022,312.93649686639475,25645500,MSFT
2023-10-09,326.0550537109375,326.5295551178962,319.49083600200555,321.0429214154338,19891200,MSFT
2023-10-10,324.64141845703125,327.3204751601556,323.92963610326484,327.1820587892371,20557100,MSFT
2023-10-11,328.6253967285156,329.020824643838,325.3828395521265,327.42918731045415,20063200,MSFT
2023-10-12,327.3797607421875,329.82156651499986,324.9676113079431,326.7964993042076,19313100,MSFT
2023-10-13,323.9889221191406,330.01926553838706,322.63453553932317,328.58583561463803,21072400,MSFT
2023-10-16,328.8428649902344,332.3029118179807,326.8261435346823,327.27098859672117,22158000,MSFT
2023-10-17,328.26947021484375,329.653482917614,323.6725568735075,325.827664522765,18338500,MSFT
2023-10-18,326.3417053222656,331.75916074567095,324.55236929454276,328.6945419118804,23153600,MSFT
2023-10-19,327.5379333496094,333.0344625947889,327.1326099487148,328.35844548463956,25052100,MSFT
2023-10-20,322.9410400390625,328.13111072358873,321.73496526369917,327.9333816774439,25012600,MSFT
2023-10-23,325.56072998046875,328.9318075244439,320.6870145103195,321.7546727424832,24374700,MSFT
2023-10-24,326.7569580078125,328.0520017824309,323.86041156041205,327.5181575017648,31153600,MSFT
2023-10-25,336.78125,342.24812359609695,333.7660477847726,341.08157042022475,55053800,MSFT
2023-10-26,324.1470947265625,337.7302406507204,323.20792706940125,336.6526868052071,37828500,MSFT
2023-10-27,326.0451965332031,332.876322086507,324.65128814798715,326.6581143687127,29856500,MSFT
2023-10-30,333.4595642089844,335.5751503381647,328.04210819348634,329.60408920215934,22828100,MSFT
2023-10-31,334.25042724609375,335.1302822914459,330.8694837708354,334.98200058976215,20265300,MSFT
2023-11-01,342.11956787109375,343.45416345864317,335.7728398301243,335.9112561909914,28158800,MSFT
2023-11-02,344.3438720703125,344.84802981392585,340.834377854448,343.27618356893754,24348100,MSFT
2023-11-03,348.77276611328125,350.34464276794165,343.36520510875204,345.63896864627054,23624000,MSFT
2023-11-06,352.46014404296875,353.4586243635472,349.31645156155355,349.4153160772212,23828300,MSFT
2023-11-07,356.41448974609375,358.3224512391216,353.5475997552972,355.29738405424604,25833900,MSFT
2023-11-08,359.0540771484375,359.7164121909106,356.43430281354665,357.5514086690943,26767800,MSFT
2023-11-09,356.5726623535156,360.62586616316025,356.2464124670446,358.1642694379123,24847300,MSFT
2023-11-10,365.4501647949219,365.8752490282028,356.9483292832311,357.36351801413326,28042100,MSFT
2023-11-13,362.4942626953125,364.2638379125878,361.7231677677131,364.01669171567505,19986500,MSFT
2023-11-14,366.0433349609375,367.7041805891428,363.1566838302052,366.77490833178183,27683900,MSFT
2023-11-15,366.19189453125,369.6193319212851,363.65595302337914,367.78673199342217,26860100,MSFT
2023-11-16,372.63079833984375,372.8090975451965,366.6971350089113,367.469795129225,27182300,MSFT
2023-11-17,366.3702087402344,370.84767066024057,363.5470174090878,370.09481157714856,40157000,MSFT
2023-11-20,373.8888244628906,375.305362924845,367.5094133597198,367.7273446792859,52465100,MSFT
2023-11-21,369.5599670410156,372.6803241260398,367.628301581954,372.1355109096135,28423100,MSFT
2023-11-22,374.2949523925781,376.2167020543969,371.4420444315091,374.44353505087355,23345300,MSFT
2023-11-24,373.8788757324219,374.4138035112927,371.61044336899096,373.7798105540461,10176600,MSFT
2023-11-27,375.04779052734375,377.05872006421737,372.6604918874323,373.23502159050327,22179200,MSFT
2023-11-28,379.0993347167969,379.3965000397917,374.6020413692927,374.7902561506727,20453100,MSFT
2023-11-29,375.2855529785156,380.68425789892774,373.88881549531266,380.1493603159181,28963400,MSFT
2023-11-30,375.3449401855469,376.51383062398844,371.937303812454,374.9288785524772,30554400,MSFT
2023-12-01,370.98638916015625,374.6020416682448,367.8164846369156,373.21521977574577,33020400,MSFT
2023-12-04,365.6669006347656,366.0432999492324,359.4855901354516,365.6272685167618,32063300,MSFT
2023-12-05,369.01507568359375,369.5698044164444,362.1800014727598,363.002209215325,23065000,MSFT
2023-12-06,365.3300476074219,370.6594334670261,364.5673032138948,370.025470775232,21182100,MSFT
2023-12-07,367.45989990234375,367.95519561310016,362.8734567838674,364.76549002661096,23118900,MSFT
2023-12-08,370.7090148925781,370.93683155749534,364.7654667428902,365.7263415696411,20144800,MSFT
2023-12-11,367.80657958984375,368.10377515204266,362.6555223800224,365.01313478005966,27708800,MSFT
2023-12-12,370.8575744628906,370.8972065792804,366.9744432787704,367.3607883950642,24838300,MSFT
2023-12-13,370.84765625,374.0869091144722,367.2815215613571,372.48212583174757,30955500,MSFT
2023-12-14,362.48712158203125,370.2434695547166,360.70406906648043,369.79769131060294,43277500,MSFT
2023-12-15,367.2419738769531,368.8962446456856,362.83382989546425,363.3984742691784,78478200,MSFT
